USA SOFTBALL TESTING & CERTIFICATION PROGRAM,,,,
Certified Bats,,,,
#ERROR!,Click here to select all by type,,,
,,,,
,,,,
Type,Manufacturer,Model,Description,"Last
Update"
,Rawlings,FP750,,9/9/2008
,Rawlings,FP7A125,Aspire - Keilani/Chamberlain Series,4/1/2016
,Rawlings,FP7AMP,AMP,8/18/2016
,Rawlings,FP7E12,Eclipse,8/18/2016
,Rawlings,FP7M12,Momentum,4/1/2016
,Rawlings,FP7O11,Ombre,4/1/2016
,Rawlings,FP7Q10,Quatro -10,3/10/2016
,Rawlings,FP7Q9,Quatro -9,4/1/2016
,Rawlings,FP7S10,Sparkle,3/1/2018
,Rawlings,FP7S13,Storm HyperLite,4/1/2016
,Rawlings,FP7SB3,Storm HyperLite,4/1/2016
,Rawlings,FP7V11,Velo -11,3/10/2016
,Rawlings,FP8A25,Aspire - Keilani/Chamberlain Signature,5/24/2017
,Rawlings,FP8AMP,AMP,5/24/2017
,Rawlings,FP8E12,Eclipse,5/24/2017
,Rawlings,FP8O11,Ombre,5/24/2017
,Rawlings,FP8Q10,Quatro -10,12/8/2016
,Rawlings,FP8Q9,Quatro -9,12/8/2016
,Rawlings,FP8RSH,Rush,5/24/2017
,Rawlings,FP8S13,Storm HyperLite,5/24/2017
,Rawlings,FP8V10,Velo -10,11/9/2016
,Rawlings,FP8V11,Velo -11,11/23/2016
,Rawlings,FP8V9,Velo -9,11/9/2016
,Rawlings,FP8WK1,Wicked,3/1/2018
,Rawlings,FP950,,9/9/2008
,Rawlings,FP9Q10,Quatro -10,12/21/2017
,Rawlings,FP9Q9,Quatro -9,12/4/2017
,Rawlings,FP9V10,Velo -10,12/4/2017
,Rawlings,FP9V11,Velo -11,12/4/2017
,Rawlings,FP9V9,Velo -9,12/4/2017
,Rawlings,FPAA13,Aspire -13,10/24/2018
,Rawlings,FPACL,,9/9/2008
,Rawlings,FPANT,Anthem,8/14/2008
,Rawlings,FPANT2,Anthem,8/14/2008
,Rawlings,FPCBLT,,9/9/2008
,Rawlings,FPCBLT2,,9/9/2008
,Rawlings,FPCLBR,Caliber,8/14/2008
,Rawlings,FPCLBR2,,9/9/2008
,Rawlings,FPCOB,Cobalt,8/14/2008
,Rawlings,FPDS13,Storm -13,10/24/2018
,Rawlings,FPEM10,Mantra -10,3/25/2020
,Rawlings,FPEM9,Mantra -9,3/25/2020
,Rawlings,FPFL5,Fuel,6/3/2009
,Rawlings,FPI13,Instinct,6/1/2010
,Rawlings,FPINS,,8/14/2008
,Rawlings,FPINS,Instinct,9/9/2008
,Rawlings,FPINS2,Instinct,8/14/2008
,Rawlings,FPINS3,,9/9/2008
,Rawlings,FPLM,,8/14/2008
,Rawlings,FPLM2,,8/14/2008
,Rawlings,FPLMP,,8/14/2008
,Rawlings,FPLMP,Plasma,8/14/2008
,Rawlings,FPLMPF,Liquid Metal Plasma Fusion FP,9/9/2008
,Rawlings,FPLMPG,Plasma Gold,9/9/2008
,Rawlings,FPLMPM,PLASMA FASTPITCH,9/9/2008
,Rawlings,FPNEM2,Nemesis,9/9/2008
,Rawlings,FPP4,,9/9/2008
,Rawlings,FPP5,,9/9/2008
,Rawlings,FPPAR,Paramount,8/14/2008
,Rawlings,FPPE10,Quatro -10,1/18/2019
,Rawlings,FPPE9,Quatro -9,1/18/2019
,Rawlings,FPPLA2,Plasma,6/1/2010
,Rawlings,FPPLAS,Plasma,6/3/2009
,Rawlings,FPPM10,Mantra -10,3/25/2020
,Rawlings,FPPM9,Mantra -9,3/25/2020
,Rawlings,FPQP10,Quatro Pro -10,2/12/2018
,Rawlings,FPQP11,Quatro Pro -11,7/24/2018
,Rawlings,FPQP9,Quatro Pro -9,2/12/2018
,Rawlings,FPREN2,Renegade,9/9/2008
,Rawlings,FPREN3,,9/9/2008
,Rawlings,FPRIV,,8/14/2008
,Rawlings,FPRIV2,,8/14/2008
,Rawlings,FPRSHCT,Rush Comp,8/14/2008
,Rawlings,FPRSHGD,Rush Gold FP,9/9/2008
,Rawlings,FPSGT,,9/9/2008
,Rawlings,FPSLVR,Plasma Silver FP,9/9/2008
,Rawlings,FPSTRV,,9/9/2008
,Rawlings,FPSTRV2,,9/9/2008
,Rawlings,FPSTRV3,,9/9/2008
,Rawlings,FPTRMP,Triumph,9/9/2008
,Rawlings,FPTRMP2,,9/9/2008
,Rawlings,FPVCTY,Velocity,8/14/2008
,Rawlings,FPVCTY2,,9/9/2008
,Rawlings,FPVCTY3,Velocity,6/3/2009
,Rawlings,FPZ2,,8/14/2008
,Rawlings,FPZE12,Eclipse -12,1/18/2019
,Rawlings,FPZO11,Ombre -11,1/18/2019
,Rawlings,FPZP10,Quatro Pro -10,1/18/2019
,Rawlings,FPZP11,Quatro Pro -11,1/18/2019
,Rawlings,FPZP9,Quatro Pro -9,1/18/2019
,Rawlings,FPZS13,Storm -13,1/18/2019
,Rawlings,RFP3M10,Mantra 2.0 (-10),7/1/2022
,Rawlings,RFP3M9,Mantra 2.0 (-9),7/1/2022
,Rawlings,RFP3MP10,Mantra Plus -10,7/29/2022
,Rawlings,RFP3MP11,MANTRA Plus -11,10/17/2022
,Rawlings,RFP3MP9,Mantra Plus -9,7/29/2022
,Rawlings,RFP4AM10,Mantra+Jocelyn Alo,11/25/2022
,Rawlings,RFP4AM9,Matra= Jocelyn Alo,11/25/2022
,Rawlings,RFP4M10,Mantra 3.0 (-10),11/18/2023
,Rawlings,RFP4M9,Mantra 3.0 (-9),11/21/2023
,Rawlings,RFP5E12,Eclipse (-12),5/20/2024
,Rawlings,RFP5H13,HAZE (-13),5/20/2024
,Rawlings,RFP5MR10,Mantra Reverse (-10),7/18/2024
,Rawlings,RFP5MR11,Mantra Reverse,8/20/2024
,Rawlings,RFP5MR9,Mantar Reverse (-9),7/18/2024
,Rawlings,RFP5MRA10,Mantra Reverse ALO (-10),7/18/2024
,Rawlings,RFP5MRA9,Mantra Reverse ALO (-9),3/6/2025
,Rawlings,RFP5O11,Ombre (-11),5/20/2024
,Rawlings,RFP6ALO12,ALO 78 (-12),7/10/2025
,Rawlings,RFP6AMP10,AMP (-10),11/13/2025
,Rawlings,RFP6M10,Mantra (-10),3/20/2025
,Rawlings,RFP6M11,Mantra (-11),7/10/2025
,Rawlings,RFP6M9,Mantra (-9),3/20/2025
,Rawlings,RFP7E12,Eclipse (-12),3/12/2026
,Rawlings,RFP7HALO10-30,HALO (-10,3/24/2026
,Rawlings,RFP7HALO10-31,HALO (-10),3/24/2026
,Rawlings,RFP7HALO10-32,HALO (-10),3/24/2026
,Rawlings,RFP7HALO10-33,HALO (-10),3/24/2026
,Rawlings,RFP7HALO10-34,HALO (-10),3/24/2026
,Rawlings,RFP7HALO11-29,HALO (-11),3/24/2026
,Rawlings,RFP7HALO11-30,HALO (-11),3/24/2026
,Rawlings,RFP7HALO11-31,HALO (-11),3/24/2026
,Rawlings,RFP7HALO11-32,HALO (-11),3/24/2026
,Rawlings,RFP7HALO11-33,HALO (-11),3/24/2026
,Rawlings,RFP7HALO8-33,HALO (-8),3/24/2026
,Rawlings,RFP7HALO8-34,HALO (-8),3/24/2026
,Rawlings,RFP7HALO9-32,HALO (-9),3/24/2026
,Rawlings,RFP7HALO9-33,HALO (-9),3/24/2026
,Rawlings,RFP7HALO9-34,HALO (-9),3/24/2026
,Rawlings,RFP7KZ13,KRAZE (-13),3/12/2026
,Rawlings,RFP7O11,Ombre (-11),3/12/2026
,Rawlings,SB1,Innertech,9/9/2008
,Rawlings,SBACL,,9/9/2008
,Rawlings,SBIN2,,9/9/2008
,Rawlings,SBLMP98,PLASMA SLOWPITCH,8/14/2008
,Rawlings,SBLMPFA,Liquid Metal Plasma Fusion (98),9/9/2008
,Rawlings,SBRSHCTA,Rush Comp,9/9/2008
,Rawlings,SP1,,9/9/2008
,Rawlings,SP1AM,,8/14/2008
,Rawlings,SP1AM2,,8/14/2008
,Rawlings,SP1AM3,,9/9/2008
,Rawlings,SP3,,9/9/2008
,Rawlings,SPBL,,9/9/2008
,Rawlings,SPCBLT2,,8/14/2008
,Rawlings,SPCLBR,Caliber,8/14/2008
,Rawlings,SPCLBR2,,8/14/2008
,Rawlings,SPFL3,Fuel,8/14/2008
,Rawlings,SPFL4,Fuel,8/14/2008
,Rawlings,SPIO,,8/14/2008
,Rawlings,SPIO,Ion,8/14/2008
,Rawlings,SPPAR,Paramount,8/14/2008
,Rawlings,SPREC,,9/9/2008
,Rawlings,SPREC,Recon,8/14/2008
,Rawlings,SPREN2,Renegade,8/14/2008
,Rawlings,SPREN3,,8/14/2008
,Rawlings,SPRIV2,,9/9/2008
,Rawlings,SPSTRV,,8/14/2008
,Rawlings,SPSTRV2,,8/14/2008
,Rawlings,SPSTRV3,,8/14/2008
,Rawlings,SPTRMP,Triumph,8/14/2008
,Rawlings,SPTRMP2,,8/14/2008
,Reebok,VMASP,Melee ASA Slow Pitch Softball Bat,3/17/2010
,Reebok,VOASP,Vector O Slow Pitch Softball Bat,3/17/2010
,Reebok,VRDASP2,Dictator,8/20/2008
,RIP-IT,F1310,2013 Prototype -10 AIR,6/19/2012
,RIP-IT,F1410,2014 Prototype -10 AIR,3/29/2013
,RIP-IT,F1412,2014 Prototype Drop 12 AIR,4/11/2013
,RIP-IT,F1510,"Drop Ten AIR, 2015",7/11/2014
,RIP-IT,F1512,"Drop Twelve AIR, 2015",7/11/2014
,RIP-IT,FORC1,,8/13/2008
,RIP-IT,FORC5,RIP-IT Force,3/3/2011
,RIP-IT,FORC6,2012 RIP-IT Force,8/23/2011
,RIP-IT,FORL1,2012 RIP-IT Force Light,8/23/2011
,RIP-IT,REAL1,2012 RIP-IT Reaper Light,8/23/2011
,RIP-IT,REAP2,Rip-it Reaper,8/13/2008
,RIP-IT,REAP3,Reaper,2/18/2009
,RIP-IT,REAP5,Rip-It Reaper,5/4/2011
,RIP-IT,REAP6,RIP-IT Reaper,3/3/2011
,RIP-IT,REAP8,RIP-IT Reaper,3/19/2012
,RIP-IT,REFP1,RIP-IT Elite FP,8/13/2008
,RIP-IT,RESR2,RIP-IT Senior,8/13/2008
,RIP-IT,S13DA,2013 RIP-IT Prototype 98,3/29/2013
,RIP-IT,SDST22,Stardust,7/1/2022
,RIP-IT,SPRK22,Spark,9/14/2021
,Rude American Bat Company,MOAB-Power,MOAB-Power,7/25/2013
,Rude American Bat Company,MOAB-Speed,MOAB-Speed,7/25/2013
,Schutt Sports,Bandit,,8/13/2008
,Schutt Sports,Bustos,,8/13/2008
,Schutt Sports,LFC10,Fernandez Collection,8/13/2008
,Schutt Sports,LFC9,Fernandez Collection,8/13/2008
,Schutt Sports,Schutt,,8/13/2008
,Short Porch,SPFP2ST,Milkshake,5/13/2026
,Short Porch,SPUSA01,Tax Man,10/13/2025
,Short Porch,SPUSA02,Jawbreaker Peach,10/13/2025
,Short Porch,SPUSA03,Tax Man Black,2/3/2026
,Soldier Sports,S-24-25-26-2,TANK,5/4/2025
,Soldier Sports,S-33-22-26-2,TANK,5/4/2025
,Soldier Sports,S-34-24-26-2,TANK,5/4/2025
,Stallion Bats,SB1,Stallion,4/22/2023
,StringKing,"Metal Pro ASA Slow Pitch (34""/26oz)",,12/4/2019
,StringKing,"Metal Pro ASA Slow Pitch (34""/27oz)",,12/4/2019
,StringKing,"Metal Pro ASA Slow Pitch (34""/28oz)",,12/4/2019
,StringKing,Metal Pro Fastpitch 33/22 Pro Fast Pitch Drop 11,,6/3/2022
,StringKing,Metal Pro Fastpitch 33/23 Pro Fastpitch Drop 10,,6/3/2022
,Suncoast,SAFPB-10,Aftershock -10 FP,11/8/2024
,Suncoast,SAFPB-11,Aftershock -11 FP,11/8/2024
,Suncoast,SAFPB-9,Aftershock -9 FP,11/8/2024
,Suncoast,SB2ASB,Backlash2,7/5/2022
,Suncoast,SB2ASB12,Backlash2,7/5/2022
,Suncoast,SB2ASE,Backlash2,7/5/2022
,Suncoast,SB2ASE12,Backlash2,7/5/2022
,Suncoast,SB2FPB-10,Backlash 2-10 FP,7/31/2023
,Suncoast,SB2FPB-9,Backlash 2-9 FP,7/31/2023
,Suncoast,SB3FPB-10,Backlash3 -10 FP,11/12/2024
,Suncoast,SB3FPB-11,Backlash3 -11 FP,11/11/2024
,Suncoast,SB3FPB-9,Backlash3 -9 FP,11/11/2024
,Suncoast,SBASAB,Backlash,1/13/2020
,Suncoast,SBASAB,Backlash2,7/5/2022
,Suncoast,SBASAE,Backlash,1/13/2020
,Suncoast,SBASAE,Backlash2,7/5/2022
,Suncoast,SBFPB-11,Backlash FP -11,4/5/2023
,Suncoast,SBFPB-9,Backlash FP -9,4/5/2023
,Suncoast,SP2FPB-11,Backlash 2-11 FP,7/31/2023
,Tino Sports,SPSBDW34,Somos Fuerte,4/12/2010
,Toledo Sports Equipment,Crimson Katana,S3CR,8/13/2008
,Toledo Sports Equipment,F1KC,,8/13/2008
,Toledo Sports Equipment,F2EC,Inferno,8/13/2008
,Toledo Sports Equipment,F2TA,,8/13/2008
,Toledo Sports Equipment,F3JA,Jade Katana,8/13/2008
,Toledo Sports Equipment,F3TA,Katana Dragonfly,8/13/2008
,Toledo Sports Equipment,F4SA,Sapphire Katana,8/13/2008
,Toledo Sports Equipment,Inferno,S2DV,8/13/2008
,Toledo Sports Equipment,Inferno S2CB,,8/13/2008
,Toledo Sports Equipment,S1KH,,8/13/2008
,Toledo Sports Equipment,S2JJ,,8/13/2008
,Toledo Sports Equipment,S3CN,Katana Tiger,8/13/2008
,Tucci,FP23FIR10,Firenze,4/29/2023
,Tucci,FP23FIR11,Firenze,4/29/2023
,Tucci,FP23FIR9,Firenze,4/29/2023
,Victus,VSPNP2BA-25,Noen Pencil Pink,9/12/2025
,Victus,VSPNP2BA-26,Noen Pencil Pink,9/12/2025
,Victus,VSPNP2BA-27,Noen Pencil Pink,9/12/2025
,Victus,VSPNP2BA-27.5,Noen Pencil Pink,9/12/2025
,Victus,VSPV2YA-25.5,Vibe USA Patriots,9/12/2025
,Victus,VSPV2YA-26.5,Vibe USA Patriots,9/12/2025
,Victus,VSPV2YA-27.5,Vibe USA Patriots,9/12/2025
,Victus,VSPVA2BA-25,Vandalized Purple,9/12/2025
,Victus,VSPVA2BA-26,Vandalized Purple,9/12/2025
,Victus,VSPVA2BA-27,Vandalized Purple,9/12/2025
,Viper,VB,,8/27/2008
,Viper,VBB,,8/27/2008
,Warstic Sports,WSFPBS1V10-23,Bonesaber,10/25/2022
,Warstic Sports,WSFPBS1V10-25,2025 Bonesaber USSSA/USA FP -10,11/18/2024
,Warstic Sports,WSFPBS1V10-25CU,2026 Bonesaber USSSA/USA Custom FP bat,11/25/2025
,Warstic Sports,WSFPBS1V11-23,Bonesaber,10/25/2022
,Warstic Sports,WSFPBS1V11-25,2025 Bonesbaber USSSA/USA FP -11,11/18/2024
,Warstic Sports,WSFPBS1V11-25CU,2026 Bonesaber USSSA/USA Custom FP bat,11/25/2025
,Warstic Sports,WSFPBS1V9-23,Bonesaber,10/25/2022
,Warstic Sports,WSFPBS1V9-25,2025 Bonesaber USSSA / USA FP -9,11/18/2024
,Warstic Sports,WSFPBS1V9-25CU,2026 Bonesaber USSSA/USA Custom FP bat,11/25/2025
,Warstic Sports,WSFPCB1V10-22,2022 Cloudbreak,2/26/2021
,Warstic Sports,WSFPCB2V10-22,Cloudbreak,9/15/2021
,Warstic Sports,WSFPGL1V10-22,2022 Gasolinea,2/26/2021
,Warstic Sports,WSFPGL2V10-22,Gasolinea,9/15/2021
,Warstic Sports,WSFPM10-26,Mana,5/15/2026
,Warstic Sports,WSFPM9-26,Mana,5/15/2026
,West Virginia Bat Co.,625,,6/18/2007
,Worth,125W3A,Launch Shorty,3/21/2017
,Worth,135W3A,Launch XL,3/21/2017
,Worth,3DX,,8/14/2008
,Worth,3DX Recertified,with ASA Recertification Mark,8/14/2008
,Worth,3DXB,,8/14/2008
,Worth,3DXE,,8/14/2008
,Worth,3DXFP,,8/14/2008
,Worth,ALFP,Fast pitch,9/9/2008
,Worth,ALFP2,Silencer Chrome X,8/14/2008
,Worth,ALXSB,Silencer Chrome X,8/14/2008
,Worth,ALXSBW,Silencer Chrome X,9/9/2008
,Worth,AMPFP,AMP Fast Pitch,8/14/2008
,Worth,ASY98,Asylum,8/14/2008
,Worth,ASYFP,Asylum Fast Pitch,8/14/2008
,Worth,B5CABFP,Powercell,8/14/2008
,Worth,BLAC98,,8/14/2008
,Worth,Blac98,EST,8/14/2008
,Worth,BLUE98,,8/14/2008
,Worth,Blue98,EST,8/14/2008
,Worth,C5FP,,8/14/2008
,Worth,C5SP,,8/14/2008
,Worth,CUEST,,8/14/2008
,Worth,DBCSB-Debeer,,8/14/2008
,Worth,deBeer,1510C Clincher Silver,8/14/2008
,Worth,deBeer,CLEST Clincher EST,8/14/2008
,Worth,DFW11,,8/14/2008
,Worth,DT3XSP,,9/9/2008
,Worth,EST23,,8/14/2008
,Worth,EST23 Recertified,with ASA Recertification Mark,8/14/2008
,Worth,EST23E,,8/14/2008
,Worth,EST5,,8/14/2008
,Worth,EST5 Recertified,with ASA Recertification Mark,8/14/2008
,Worth,EST5C,,8/14/2008
,Worth,EST5E,,8/14/2008
,Worth,EST5K,,8/14/2008
,Worth,EST85,,8/14/2008
,Worth,EST98,EST,8/14/2008
,Worth,ESTCU,,8/14/2008
,Worth,ESTCW,,8/14/2008
,Worth,ESTL,,8/14/2008
,Worth,ESTL Recertified,with ASA Recertification Mark,8/14/2008
,Worth,ESTLE,,8/14/2008
,Worth,ESTQL,,8/14/2008
,Worth,FF3DX,,8/14/2008
,Worth,FP2L10,2Legit,4/9/2015
,Worth,FP2LG9,2LEGIT,4/30/2015
,Worth,FP454,454,3/2/2011
,Worth,FP4B,,8/14/2008
,Worth,FP4L10,454 Legit FP-10,12/12/2011
,Worth,FP4L12,454 Legit FP-12,12/12/2011
,Worth,FP4L8,454 Legit FP-8,12/12/2011
,Worth,FP4L9,454 Legit FP-9,12/12/2011
,Worth,FP5B,,8/14/2008
,Worth,FPA511,AMP,5/6/2014
,Worth,FPAM12,AMP,4/7/2011
,Worth,FPAMPD,,9/9/2008
,Worth,FPAMPE,Amp FPEX,5/10/2012
,Worth,FPAMPP,AMP,4/30/2015
,Worth,FPAMPS,,9/9/2008
,Worth,FPAMPW,AMP,1/7/2014
,Worth,FPAP10,AMP,4/30/2015
,Worth,FPC10,Charm,3/4/2010
,Worth,FPD1A,D1,3/4/2010
,Worth,FPE512,Eclipse,5/6/2014
,Worth,FPEC12,Eclipse,5/10/2012
,Worth,FPECL,Eclispe,3/4/2010
,Worth,FPECL3,Eclipse,1/7/2014
,Worth,FPEVIB,Eclipse,6/17/2013
,Worth,FPEXM,Mayhem EPEX -12,5/10/2012
,Worth,FPEXR,FPEX,5/10/2012
,Worth,FPFPX,FPX,3/4/2011
,Worth,FPFPXA,FPX,1/7/2014
,Worth,FPFREE,,9/9/2008
,Worth,FPKS13,Keilani Storm HyperLite,5/6/2014
,Worth,FPL109,Legit,4/9/2015
,Worth,FPL110,Legit,4/9/2015
,Worth,FPL125,LEGIT,4/30/2015
,Worth,FPL410,454 Legit FP10,5/10/2012
,Worth,FPL49,454 Legit FP9,5/10/2012
,Worth,FPL511,Legit,1/7/2014
,Worth,FPLA11,LEGIT,4/30/2015
,Worth,FPLG10,Legit,3/28/2013
,Worth,FPLG11,Legit,3/7/2013
,Worth,FPLG9,Legit,3/28/2013
,Worth,FPLGC,2 Legit,2/4/2014
,Worth,FPLGC9,2 Legit,4/17/2014
,Worth,FPLGT,Legit,5/10/2012
,Worth,FPLHYB,,9/9/2008
,Worth,FPLQ,,9/9/2008
,Worth,FPLS13,STORM,4/30/2015
,Worth,FPLSTM,Storm FP-13,5/10/2012
,Worth,FPLT11,AMP,6/17/2013
,Worth,FPLT13,Storm Hyperlite,6/17/2013
,Worth,FPM11,Mayhem,4/7/2011
,Worth,FPMC,Mayhem Composite,4/9/2010
,Worth,FPMCW,Mayhem Comp FP,1/4/2011
,Worth,FPMH11,MAYHEM,4/30/2015
,Worth,FPML12,Mayhem,5/15/2009
,Worth,FPMLIT,,8/14/2008
,Worth,FPNSTY,Insanity,3/4/2010
,Worth,FPNSY2,Insanity,3/4/2010
,Worth,FPOP10,Prodigy,3/2/2011
,Worth,FPOS13,Storm,5/6/2014
,Worth,FPOSB,,9/9/2008
,Worth,FPPCX,,9/9/2008
,Worth,FPPCX2,Prodigy,3/4/2010
,Worth,FPPROD,Prodigy,3/2/2011
,Worth,FPQPST,PST QUAD,5/15/2009
,Worth,FPS211,STORM 2.0,4/30/2015
,Worth,FPS512,Sick 454,5/6/2014
,Worth,FPSIC9,Sick 454,3/28/2013
,Worth,FPSICK,Sick 454,3/28/2013
,Worth,FPSK10,Sick 454,5/6/2014
,Worth,FPSK12,Sick 454,4/2/2013
,Worth,FPSK9,Sick 454,5/6/2014
,Worth,FPSLA,Amp Slapper,3/2/2011
,Worth,FPSLP2,AMP Slapper,3/4/2010
,Worth,FPSLPA,AMP,5/6/2009
,Worth,FPSM13,Storm,5/6/2009
,Worth,FPST13,Storm,4/7/2011
,Worth,FPSTHL,STORM HYPERLITE,4/30/2015
,Worth,FPSTM2,Storm,3/4/2010
,Worth,FPSTMY,,9/9/2008
,Worth,FPSTRM,,9/9/2008
,Worth,FPTOX,Toxic,7/29/2009
,Worth,FPTTN,Titan FP10,8/14/2008
,Worth,FPTTN9,Titan FP-9,8/14/2008
,Worth,FPTTNC,Toxic,12/18/2008
,Worth,FPTX11,Toxic,3/4/2010
,Worth,FPWK,Wicked,5/6/2009
,Worth,FR10,Freedom,1/4/2011
,Worth,FR10W,Freedom,1/7/2014
,Worth,GX4FP,,8/14/2008
,Worth,GX4SP,,8/14/2008
,Worth,HYBEST,,9/9/2008
,Worth,HYBEST,EST HYBRID,9/9/2008
,Worth,HYBFP,,9/9/2008
,Worth,INFP,,9/9/2008
,Worth,INFP,Insanity,9/9/2008
,Worth,KS454A,454 Filthy,4/7/2011
,Worth,KS4FA,Filthy 98,2/8/2012
,Worth,KSFILA,FILTHY HPS,10/23/2012
,Worth,KSJHFA,Filthy Jeff Hall,1/7/2014
,Worth,KSJHMA,Filthy Jeff Hall,1/7/2014
,Worth,KSMJHA,Mutant Jeff Hall,1/7/2014
,Worth,LAMPSB,Lithium Amp,9/9/2008
,Worth,LC4P,,8/14/2008
,Worth,LFP13,Prodigy,8/14/2008
,Worth,LQUAD LQUAD,,8/14/2008
,Worth,LQUAD,LQUAD,8/14/2008
,Worth,LWFP,,8/14/2008
,Worth,M2MAYO,Mayhem,1/28/2022
,Worth,M75 98,Mayhem M7,8/14/2008
,Worth,M75FP,,9/9/2008
,Worth,M798,Mayhem M7,8/14/2008
,Worth,M7FP,Mayhem M7FP (-10 fastpitch),8/14/2008
,Worth,M7FP8,Mayhem M7FP-8 (-8 fastpitch),8/14/2008
,Worth,M7JH98,Jeff Hall,9/9/2008
,Worth,M7JHA,Jeff Hall,8/14/2008
,Worth,MAY98,MAYHEM,8/14/2008
,Worth,MAY98A,Mayhem,1/4/2011
,Worth,MAYFP,MAYHEM,9/9/2008
,Worth,MAYMLA,Mayhem,12/12/2011
,Worth,MAYMLA,Mayhem,9/30/2011
,Worth,MF5B,,8/14/2008
,Worth,MF5E,,8/14/2008
,Worth,MOD2SB,Powercell,9/9/2008
,Worth,MODF10,Powercell,9/9/2008
,Worth,MSFP,,8/14/2008
,Worth,MUT98,Mutant 98,8/14/2008
,Worth,MUTJHA,Mutant Jeff Hall 98,8/14/2008
,Worth,P3FP,Prodigy,8/14/2008
,Worth,PC5B,,8/14/2008
,Worth,PC5BT,,8/14/2008
,Worth,PC5E,,8/14/2008
,Worth,PC5E,,8/14/2008
,Worth,PC5FE,,9/9/2008
,Worth,PC5RB,,8/14/2008
,Worth,PC5UL,,8/14/2008
,Worth,PC5WE,,8/14/2008
,Worth,POC98,Prodigy,9/9/2008
,Worth,POC98R,Prodigy,8/14/2008
,Worth,POCFP,,8/14/2008
,Worth,POCFP,Prodigy,9/9/2008
,Worth,PST,PST137 Black/Gold and Red,8/14/2008
,Worth,PST Recertified,with ASA Recertification Mark,8/14/2008
,Worth,PST98,,8/14/2008
,Worth,PST98,PST,8/14/2008
,Worth,PSTZ98,PST,8/14/2008
,Worth,Q5SA,,8/14/2008
,Worth,Q5SB,,8/14/2008
,Worth,QESTFPA,,8/14/2008
,Worth,QOCFP,Quad FP,9/9/2008
,Worth,QOCFP2,Quad 2,8/14/2008
,Worth,QSW11,,8/14/2008
,Worth,QWFP,,9/9/2008
,Worth,RETMAY,Mayhem,8/18/2016
,Worth,REVEST,Revolver,8/14/2008
,Worth,REVFP,Revolver,9/9/2008
,Worth,REVTST,Lithium Rev. Gold Shell D955 T,8/14/2008
,Worth,RS454A,454,4/7/2011
,Worth,SAW1FPR,,9/9/2008
,Worth,SB454A,454,3/4/2011
,Worth,SB4JHA,454 Jeff Hall Reloaded,10/23/2012
,Worth,SB4LA,454 Legit,12/12/2011
,Worth,SB4MA,454 Mutant,5/10/2012
,Worth,SB4MXA,454 Mutant,10/10/2012
,Worth,SB4WFA,War Fighter Team Drash,2/8/2012
,Worth,SBA5UA,AMP Reload,5/6/2014
,Worth,SBAB,,8/14/2008
,Worth,SBAB11,,8/14/2008
,Worth,SBAB9,,8/14/2008
,Worth,SBACMO,Amp Camo,10/28/2015
,Worth,SBAMP2,Amp,3/4/2010
,Worth,SBAMP5,Amp,5/10/2012
,Worth,SBAMPA,AMP,6/28/2014
,Worth,SBAMPV,AMP,5/6/2009
,Worth,SBAUA,Amp,10/28/2015
,Worth,SBBA,,8/14/2008
,Worth,SBBC,,11/7/2008
,Worth,SBBJA,Toxic,4/7/2011
,Worth,SBE,,8/14/2008
,Worth,SBESNX,Steelers,3/4/2010
,Worth,SBEST,,11/7/2008
,Worth,SBESTA,,11/7/2008
,Worth,SBESTB,Lithium Est,5/6/2009
,Worth,SBESTC,EST 375,3/4/2010
,Worth,SBESTW,EST Classic,1/4/2011
,Worth,SBFHRA,Fulk HD52,10/13/2014
,Worth,SBH52A,HD52 BALANCED,4/30/2015
,Worth,SBHDJA,HALL HD52,4/30/2015
,Worth,SBHDMA,Team Resmondo HD52,10/28/2015
,Worth,SBINS6,Insanity,3/4/2010
,Worth,SBINS6,Instinct,3/4/2010
,Worth,SBJHA,454 Jeff Hall,1/7/2014
,Worth,SBL5A,Legit Balanced,2/14/2014
,Worth,SBL5AJ,Legit Jeff Hall,2/14/2014
,Worth,SBLA3P,Legit Balanced,4/2/2013
,Worth,SBLAJH,Legit Jeff Hall Reload,4/2/2013
,Worth,SBLGSW,LEGIT,4/30/2015
,Worth,SBLHBA,Legit HD52 Balanced,10/13/2014
,Worth,SBLHDM,Legit HD52 Resmondo,10/28/2015
,Worth,SBLHJA,Legit HD42 Jeff Hall,10/13/2014
,Worth,SBLIBA,Liberty,10/7/2016
,Worth,SBM5UA,Mayhem Balanced,5/6/2014
,Worth,SBMABJ,Mayhem - BJ Fulk,10/10/2012
,Worth,SBMAYD,MAYHEM,4/30/2015
,Worth,SBMAYH,Mayhem Hybrid,6/1/2009
,Worth,SBMBJA,Mayhem BJ Fulk,12/12/2011
,Worth,SBMJH,,12/5/2008
,Worth,SBMSWA,MAYHEM,4/30/2015
,Worth,SBMTDA,Mayhem,4/7/2011
,Worth,SBMUA,Mayhem Balanced,4/2/2013
,Worth,SBMWFA,MAYHEM WARFIGHTER,10/23/2012
,Worth,SBMWMB,MAYHEM WOOD COMP,4/30/2015
,Worth,SBMXLA,MAYHEM D2E Max Endload,10/23/2012
,Worth,SBMYWD,Mayhem Wood,8/18/2016
,Worth,SBNFLC,Cowboys,1/4/2011
,Worth,SBNFLS,Steelers,1/4/2011
